Season,Episode,Rating,Name,Spoken
5,12,7.9,Abed,443
5,13,8.3,Abed,544
6,1,7.9,Abed,749
6,2,7.7,Abed,200
6,3,7.9,Abed,227
6,4,8.2,Abed,335
6,5,7.9,Abed,510
6,6,7.8,Abed,259
6,7,7.5,Abed,255
6,8,8.0,Abed,768
6,9,7.8,Abed,321
6,10,7.7,Abed,743
6,11,9.1,Abed,377
6,12,8.6,Abed,109
6,13,9.6,Abed,530
1,1,7.8,Annie,113
1,2,7.9,Annie,192
1,3,8.3,Annie,35
1,4,8.2,Annie,279
1,5,7.9,Annie,263
1,6,7.8,Annie,368
1,7,8.8,Annie,311
1,8,8.1,Annie,254
1,9,8.9,Annie,320
1,10,8.3,Annie,140
1,11,7.9,Annie,370
1,12,8.5,Annie,98
1,13,8.1,Annie,364
1,14,8.0,Annie,160
1,15,8.2,Annie,356
1,16,8.5,Annie,105
1,17,9.0,Annie,177
1,18,8.1,Annie,174
1,19,8.5,Annie,88
1,20,8.5,Annie,437
1,21,9.3,Annie,241
1,22,8.1,Annie,160
1,23,9.8,Annie,62
1,24,8.2,Annie,383
1,25,8.5,Annie,260
2,1,8.7,Annie,161
2,2,8.3,Annie,283
2,3,8.1,Annie,362
2,4,8.7,Annie,201
2,5,7.8,Annie,69
2,6,9.3,Annie,186
2,7,8.5,Annie,178
2,8,9.1,Annie,539
2,9,9.4,Annie,656
2,10,8.5,Annie,562
2,11,8.8,Annie,195
2,12,8.1,Annie,462
2,13,8.0,Annie,650
2,14,9.5,Annie,136
2,15,8.2,Annie,113
2,16,8.8,Annie,205
2,17,8.3,Annie,570
2,18,7.5,Annie,90
2,19,9.0,Annie,51
2,20,7.6,Annie,102
2,21,9.1,Annie,232
2,22,8.0,Annie,150
2,23,9.7,Annie,355
2,24,9.6,Annie,209
3,1,8.1,Annie,191
3,2,8.2,Annie,638
3,3,8.1,Annie,272
3,4,9.8,Annie,291
3,5,8.8,Annie,362
3,6,7.8,Annie,98
3,7,8.6,Annie,565
3,8,9.0,Annie,237
3,9,8.5,Annie,330
3,10,8.7,Annie,345
3,11,7.8,Annie,244
3,12,8.1,Annie,147
3,13,8.2,Annie,276
3,14,9.3,Annie,222
3,15,8.2,Annie,529
3,16,8.7,Annie,1144
3,17,9.4,Annie,501
3,18,8.3,Annie,245
3,19,9.2,Annie,211
3,20,9.5,Annie,207
3,21,9.1,Annie,99
3,22,8.9,Annie,81
4,1,7.4,Annie,423
4,2,7.6,Annie,402
4,3,7.4,Annie,359
4,4,7.2,Annie,200
4,5,7.5,Annie,199
4,6,7.6,Annie,305
4,7,6.8,Annie,134
4,8,8.0,Annie,280
4,9,7.0,Annie,207
4,10,7.6,Annie,499
4,11,8.1,Annie,287
4,12,8.2,Annie,296
4,13,7.8,Annie,369
5,1,8.1,Annie,274
5,2,8.6,Annie,328
5,3,9.0,Annie,404
5,4,9.2,Annie,411
5,5,9.4,Annie,156
5,6,8.2,Annie,569
5,7,7.9,Annie,101
5,8,9.0,Annie,186
5,9,8.1,Annie,559
5,10,8.5,Annie,196
5,11,8.0,Annie,178
5,12,7.9,Annie,204
5,13,8.3,Annie,314
6,1,7.9,Annie,200
6,2,7.7,Annie,171
6,3,7.9,Annie,592
6,4,8.2,Annie,387
6,5,7.9,Annie,249
6,6,7.8,Annie,282
6,7,7.5,Annie,337
6,8,8.0,Annie,125
6,9,7.8,Annie,199
6,10,7.7,Annie,317
6,11,9.1,Annie,141
6,12,8.6,Annie,438
6,13,9.6,Annie,491
1,1,7.8,Shirley,181
1,2,7.9,Shirley,196
1,3,8.3,Shirley,184
1,4,8.2,Shirley,475
1,5,7.9,Shirley,56
1,6,7.8,Shirley,218
1,7,8.8,Shirley,311
1,8,8.1,Shirley,170
1,9,8.9,Shirley,183
1,10,8.3,Shirley,244
1,11,7.9,Shirley,114
1,12,8.5,Shirley,652
1,13,8.1,Shirley,144
1,14,8.0,Shirley,191
1,15,8.2,Shirley,131
1,16,8.5,Shirley,90
1,17,9.0,Shirley,247
1,18,8.1,Shirley,318
1,19,8.5,Shirley,359
1,20,8.5,Shirley,382
1,21,9.3,Shirley,161
1,22,8.1,Shirley,376
1,23,9.8,Shirley,171
1,24,8.2,Shirley,208
1,25,8.5,Shirley,162
2,1,8.7,Shirley,201
2,2,8.3,Shirley,137
2,3,8.1,Shirley,218
2,4,8.7,Shirley,81
2,5,7.8,Shirley,410
2,6,9.3,Shirley,107
2,7,8.5,Shirley,237
2,8,9.1,Shirley,305
2,9,9.4,Shirley,19
2,10,8.5,Shirley,157
2,11,8.8,Shirley,183
2,12,8.1,Shirley,201
2,13,8.0,Shirley,161
2,14,9.5,Shirley,103
2,15,8.2,Shirley,28
2,16,8.8,Shirley,253
2,17,8.3,Shirley,27
2,18,7.5,Shirley,367
2,19,9.0,Shirley,36
2,20,7.6,Shirley,76
2,21,9.1,Shirley,202
2,22,8.0,Shirley,391
2,23,9.7,Shirley,60
2,24,9.6,Shirley,110
3,1,8.1,Shirley,112
3,2,8.2,Shirley,118
3,3,8.1,Shirley,231
3,4,9.8,Shirley,206
3,5,8.8,Shirley,106
3,6,7.8,Shirley,103
3,7,8.6,Shirley,153
3,8,9.0,Shirley,104
3,9,8.5,Shirley,664
3,10,8.7,Shirley,114
3,11,7.8,Shirley,656
3,12,8.1,Shirley,126
3,13,8.2,Shirley,158
3,14,9.3,Shirley,147
3,15,8.2,Shirley,259
3,16,8.7,Shirley,135
3,17,9.4,Shirley,155
3,18,8.3,Shirley,161
3,19,9.2,Shirley,166
3,20,9.5,Shirley,199
3,21,9.1,Shirley,67
3,22,8.9,Shirley,194
4,1,7.4,Shirley,128
4,2,7.6,Shirley,234
4,3,7.4,Shirley,136
4,4,7.2,Shirley,125
4,5,7.5,Shirley,448
4,6,7.6,Shirley,210
4,7,6.8,Shirley,195
4,8,8.0,Shirley,261
4,9,7.0,Shirley,340
4,10,7.6,Shirley,161
4,11,8.1,Shirley,153
4,12,8.2,Shirley,407
4,13,7.8,Shirley,68
5,1,8.1,Shirley,168
5,2,8.6,Shirley,201
5,3,9.0,Shirley,62
5,4,9.2,Shirley,218
5,5,9.4,Shirley,151
5,6,8.2,Shirley,78
5,7,7.9,Shirley,49
5,8,9.0,Shirley,288
5,9,8.1,Shirley,390
5,10,8.5,Shirley,104
5,11,8.0,Shirley,171
5,12,7.9,Shirley,117
5,13,8.3,Shirley,50
6,1,7.9,Shirley,100
6,2,7.7,Shirley,0
6,3,7.9,Shirley,0
6,4,8.2,Shirley,0
6,5,7.9,Shirley,0
6,6,7.8,Shirley,0
6,7,7.5,Shirley,0
6,8,8.0,Shirley,0
6,9,7.8,Shirley,0
6,10,7.7,Shirley,0
6,11,9.1,Shirley,0
6,12,8.6,Shirley,0
6,13,9.6,Shirley,0
1,1,7.8,Troy,179
1,2,7.9,Troy,97
1,3,8.3,Troy,59
1,4,8.2,Troy,149
1,5,7.9,Troy,270
1,6,7.8,Troy,439
1,7,8.8,Troy,167
1,8,8.1,Troy,221
1,9,8.9,Troy,132
1,10,8.3,Troy,307
1,11,7.9,Troy,180
1,12,8.5,Troy,239
1,13,8.1,Troy,88
1,14,8.0,Troy,410
1,15,8.2,Troy,409
1,16,8.5,Troy,209
1,17,9.0,Troy,218
1,18,8.1,Troy,216
1,19,8.5,Troy,148
1,20,8.5,Troy,207
1,21,9.3,Troy,247
1,22,8.1,Troy,305
1,23,9.8,Troy,159
1,24,8.2,Troy,204
1,25,8.5,Troy,270
2,1,8.7,Troy,250
2,2,8.3,Troy,167
2,3,8.1,Troy,165
2,4,8.7,Troy,240
2,5,7.8,Troy,216
2,6,9.3,Troy,325
2,7,8.5,Troy,242
2,8,9.1,Troy,311
2,9,9.4,Troy,172
2,10,8.5,Troy,545
2,11,8.8,Troy,203
2,12,8.1,Troy,377
2,13,8.0,Troy,112
2,14,9.5,Troy,135
2,15,8.2,Troy,312
2,16,8.8,Troy,224
2,17,8.3,Troy,332
2,18,7.5,Troy,357
2,19,9.0,Troy,114
2,20,7.6,Troy,386
2,21,9.1,Troy,261
2,22,8.0,Troy,150
2,23,9.7,Troy,106
2,24,9.6,Troy,381
3,1,8.1,Troy,190
3,2,8.2,Troy,116
3,3,8.1,Troy,216
3,4,9.8,Troy,320
3,5,8.8,Troy,324
3,6,7.8,Troy,402
3,7,8.6,Troy,391
3,8,9.0,Troy,63
3,9,8.5,Troy,238
3,10,8.7,Troy,459
